"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","182.15","179.93","182.24","179.49","29.93M","0.77%"
"05/24/2024","180.75","181.65","182.43","180.30","27.47M","-0.17%"
"05/23/2024","181.05","183.66","184.76","180.08","33.67M","-1.14%"
"05/22/2024","183.13","183.88","185.22","181.97","28.15M","-0.01%"
"05/21/2024","183.15","182.30","183.26","180.75","50.84M","-0.21%"
"05/20/2024","183.54","184.34","186.66","183.28","30.51M","-0.63%"
"05/17/2024","184.70","183.76","185.30","183.35","33.18M","0.58%"
"05/16/2024","183.63","185.60","187.31","183.46","38.83M","-1.27%"
"05/15/2024","185.99","185.97","186.72","182.73","75.46M","-0.58%"
"05/14/2024","187.07","183.82","187.72","183.45","38.70M","0.27%"
"05/13/2024","186.57","188.00","188.31","185.36","24.90M","-0.49%"
"05/10/2024","187.48","189.16","189.89","186.93","34.14M","-1.07%"
"05/09/2024","189.50","188.88","191.70","187.44","43.37M","0.80%"
"05/08/2024","188.00","187.44","188.43","186.38","26.14M","-0.40%"
"05/07/2024","188.76","188.92","189.94","187.30","34.05M","0.03%"
"05/06/2024","188.70","186.28","188.74","184.80","34.73M","1.34%"
"05/03/2024","186.21","186.99","187.87","185.42","39.17M","0.81%"
"05/02/2024","184.72","180.85","185.10","179.91","54.30M","3.20%"
"05/01/2024","179.00","181.63","185.15","176.56","94.65M","2.29%"
"04/30/2024","175.00","181.09","182.99","174.80","94.64M","-3.29%"
"04/29/2024","180.96","182.75","183.53","179.39","54.06M","0.75%"
"04/26/2024","179.62","177.79","180.82","176.13","43.92M","3.43%"
"04/25/2024","173.67","169.68","173.92","166.32","49.25M","-1.65%"
"04/24/2024","176.59","179.94","180.32","176.18","34.19M","-1.64%"
"04/23/2024","179.54","178.08","179.93","175.98","37.05M","1.30%"
"04/22/2024","177.23","176.94","178.87","174.56","37.92M","1.49%"
"04/19/2024","174.63","178.74","179.00","173.44","56.00M","-2.56%"
"04/18/2024","179.22","181.47","182.39","178.65","30.72M","-1.14%"
"04/17/2024","181.28","184.31","184.57","179.82","31.36M","-1.11%"
"04/16/2024","183.32","183.27","184.83","182.26","32.89M","-0.16%"
"04/15/2024","183.62","187.43","188.69","183.00","48.05M","-1.35%"
"04/12/2024","186.13","187.72","188.38","185.08","38.61M","-1.54%"
"04/11/2024","189.05","186.74","189.77","185.51","40.02M","1.67%"
"04/10/2024","185.95","182.76","186.27","182.67","35.88M","0.15%"
"04/09/2024","185.67","187.24","187.34","184.20","36.55M","0.26%"
"04/08/2024","185.19","186.90","187.29","184.81","39.22M","0.06%"
"04/05/2024","185.07","182.38","186.27","181.97","42.37M","2.82%"
"04/04/2024","180.00","184.00","185.10","180.00","41.62M","-1.32%"
"04/03/2024","182.41","179.90","182.87","179.80","31.05M","0.95%"
"04/02/2024","180.69","179.07","180.79","178.38","32.61M","-0.15%"
"04/01/2024","180.97","180.79","183.00","179.95","29.17M","0.33%"
"03/28/2024","180.38","180.17","181.70","179.26","38.05M","0.31%"
"03/27/2024","179.83","179.88","180.00","177.31","33.27M","0.86%"
"03/26/2024","178.30","180.15","180.45","177.95","29.66M","-0.78%"
"03/25/2024","179.71","178.01","180.99","177.24","29.82M","0.47%"
"03/22/2024","178.87","177.75","179.26","176.75","28.00M","0.40%"
"03/21/2024","178.15","179.99","181.41","178.15","32.82M","0.00%"
"03/20/2024","178.15","176.14","178.53","174.64","29.95M","1.28%"
"03/19/2024","175.90","174.21","176.09","173.52","26.88M","0.81%"
"03/18/2024","174.48","175.80","176.69","174.28","31.25M","0.03%"
"03/15/2024","174.42","176.64","177.93","173.90","72.15M","-2.42%"
"03/14/2024","178.75","177.69","179.53","176.46","43.71M","1.24%"
"03/13/2024","176.55","175.90","177.62","175.55","30.77M","0.66%"
"03/12/2024","175.39","173.50","176.76","171.98","36.61M","1.99%"
"03/11/2024","171.96","174.31","174.47","171.47","28.48M","-1.93%"
"03/08/2024","175.35","176.44","178.79","174.33","37.89M","-0.83%"
"03/07/2024","176.82","174.83","177.99","173.72","34.06M","1.91%"
"03/06/2024","173.51","175.54","176.46","173.26","32.09M","-0.35%"
"03/05/2024","174.12","176.93","176.93","173.30","37.23M","-1.95%"
"03/04/2024","177.58","177.53","180.14","177.49","37.38M","-0.36%"
"03/01/2024","178.22","176.75","178.73","176.07","31.98M","0.83%"
"02/29/2024","176.76","173.01","177.22","172.85","53.81M","2.08%"
"02/28/2024","173.16","172.44","174.05","172.27","28.18M","-0.22%"
"02/27/2024","173.54","174.07","174.62","172.86","31.14M","-0.68%"
"02/26/2024","174.73","175.70","176.37","174.26","44.37M","-0.15%"
"02/23/2024","174.99","174.28","175.75","173.70","59.72M","0.23%"
"02/22/2024","174.58","173.10","174.80","171.77","55.39M","3.55%"
"02/21/2024","168.59","168.94","170.23","167.14","44.58M","0.90%"
