"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2024","356.18","358.78","360.43","354.00","1.20M","-1.18%"
"12/26/2024","360.43","360.35","361.95","359.07","910.46K","-0.33%"
"12/24/2024","361.63","359.95","361.95","358.54","1.08M","0.80%"
"12/23/2024","358.77","360.58","362.96","355.73","3.55M","-2.07%"
"12/20/2024","366.37","370.70","372.07","362.00","7.01M","-1.56%"
"12/19/2024","372.16","365.00","376.91","363.19","6.08M","7.06%"
"12/18/2024","347.61","357.30","359.40","347.12","3.23M","-2.71%"
"12/17/2024","357.30","357.36","358.48","353.02","2.48M","0.07%"
"12/16/2024","357.06","359.55","361.02","356.45","2.31M","-0.45%"
"12/13/2024","358.68","359.58","360.76","356.25","1.81M","-0.42%"
"12/12/2024","360.18","361.31","362.00","355.40","1.83M","-1.01%"
"12/11/2024","363.84","363.85","366.59","363.43","1.54M","0.26%"
"12/10/2024","362.90","358.52","366.35","357.09","2.16M","0.95%"
"12/09/2024","359.50","360.45","366.00","358.10","2.19M","-0.88%"
"12/06/2024","362.70","365.30","371.88","361.55","2.33M","1.28%"
"12/05/2024","358.13","356.07","358.90","354.89","1.82M","-0.53%"
"12/04/2024","360.03","353.67","362.11","353.11","2.07M","2.12%"
"12/03/2024","352.54","348.80","354.33","346.62","3.04M","-2.45%"
"12/02/2024","361.38","362.77","363.36","356.96","2.45M","-0.27%"
"11/29/2024","362.37","360.15","365.00","360.00","1.31M","0.06%"
"11/27/2024","362.16","364.08","365.67","360.88","1.66M","-0.28%"
"11/26/2024","363.18","361.99","364.53","360.62","2.11M","0.52%"
"11/25/2024","361.29","360.00","364.15","358.50","3.05M","0.73%"
"11/22/2024","358.66","358.24","364.64","357.28","2.21M","-0.66%"
"11/21/2024","361.05","359.52","363.50","358.31","2.24M","1.11%"
"11/20/2024","357.07","353.71","357.33","351.65","1.79M","0.88%"
"11/19/2024","353.95","351.25","353.97","349.99","2.45M","0.33%"
"11/18/2024","352.79","353.57","355.50","351.82","1.76M","-0.22%"
"11/15/2024","353.57","360.28","360.31","348.85","3.62M","-2.35%"
"11/14/2024","362.07","371.38","372.00","361.02","3.50M","-2.20%"
"11/13/2024","370.22","359.54","370.64","359.04","3.35M","2.66%"
"11/12/2024","360.61","357.64","362.13","356.95","3.23M","0.93%"
"11/11/2024","357.30","355.00","360.64","354.10","2.99M","0.50%"
"11/08/2024","355.53","360.77","362.76","355.12","2.29M","-1.44%"
"11/07/2024","360.71","358.00","362.00","356.29","2.25M","1.29%"
"11/06/2024","356.13","355.90","357.23","353.00","3.01M","3.08%"
"11/05/2024","345.49","342.79","347.42","342.21","1.55M","0.46%"
"11/04/2024","343.90","345.26","346.68","341.58","1.93M","-0.51%"
"11/01/2024","345.67","346.94","347.95","344.83","2.58M","0.25%"
"10/31/2024","344.82","344.63","347.86","342.62","3.08M","-0.50%"
"10/30/2024","346.57","358.00","358.83","345.34","3.92M","-4.54%"
"10/29/2024","363.04","360.91","365.08","359.05","2.64M","0.48%"
"10/28/2024","361.32","364.00","366.99","360.39","2.72M","0.14%"
"10/25/2024","360.80","364.00","365.45","359.59","2.13M","-0.94%"
"10/24/2024","364.23","367.50","373.44","363.75","2.31M","-1.73%"
"10/23/2024","370.63","370.84","372.48","368.23","2.21M","-0.31%"
"10/22/2024","371.79","374.62","374.86","371.13","1.74M","-1.13%"
"10/21/2024","376.03","375.00","377.34","374.21","1.79M","-0.22%"
"10/18/2024","376.86","375.51","377.33","373.65","1.89M","0.46%"
"10/17/2024","375.15","373.00","375.51","371.78","1.91M","0.78%"
"10/16/2024","372.26","365.69","372.87","364.88","2.11M","0.98%"
"10/15/2024","368.66","365.43","371.00","365.43","2.96M","1.11%"
"10/14/2024","364.60","361.58","365.62","361.16","2.26M","1.07%"
"10/11/2024","360.74","362.52","363.40","360.06","1.44M","-0.09%"
"10/10/2024","361.07","363.56","364.47","358.91","2.09M","-1.10%"
"10/09/2024","365.08","360.98","366.46","360.77","2.05M","1.30%"
"10/08/2024","360.38","359.53","360.65","357.52","2.35M","1.00%"
"10/07/2024","356.80","360.00","362.00","355.85","1.54M","-1.50%"
"10/04/2024","362.24","364.20","367.79","359.82","2.13M","0.28%"
"10/03/2024","361.24","359.55","364.45","359.33","3.65M","1.39%"
"10/02/2024","356.29","352.71","357.19","351.34","2.42M","1.22%"
"10/01/2024","351.98","354.99","354.99","349.90","1.83M","-0.42%"
"09/30/2024","353.48","348.50","354.06","347.72","2.43M","1.08%"
"09/27/2024","349.70","356.33","358.34","349.30","2.58M","-1.72%"
"09/26/2024","355.81","355.01","363.99","349.70","4.45M","5.57%"
"09/25/2024","337.05","335.14","339.75","334.16","3.55M","-0.76%"
"09/24/2024","339.62","337.94","340.62","335.28","2.84M","0.12%"
"09/23/2024","339.21","337.38","339.44","334.05","2.00M","0.89%"
